ts_ms,sensor_id,valor(s),estado
1969-12-31T19:05:40,HC-SR04,127.02,NORMAL
1969-12-31T19:05:41,HC-SR04,127.02,NORMAL
1969-12-31T19:05:42,HC-SR04,127.02,NORMAL
1969-12-31T19:05:43,HC-SR04,127.02,NORMAL
1969-12-31T19:05:44,HC-SR04,127.01,NORMAL
1969-12-31T19:05:45,HC-SR04,127.0,NORMAL
1969-12-31T19:05:46,HC-SR04,127.0,NORMAL
1969-12-31T19:05:47,HC-SR04,126.98,NORMAL
1969-12-31T19:05:48,HC-SR04,120.87,NORMAL
1969-12-31T19:05:49,HC-SR04,114.82,NORMAL
1969-12-31T19:05:50,HC-SR04,108.71,NORMAL
1969-12-31T19:05:51,HC-SR04,102.6,NORMAL
1969-12-31T19:05:52,HC-SR04,96.48,NORMAL
1969-12-31T19:05:53,HC-SR04,82.01,NORMAL
1969-12-31T19:05:54,HC-SR04,67.55,NORMAL
1969-12-31T19:05:55,HC-SR04,53.08,NORMAL
1969-12-31T19:05:56,HC-SR04,44.74,NORMAL
1969-12-31T19:05:57,HC-SR04,36.32,NORMAL
1969-12-31T19:05:58,HC-SR04,27.96,NORMAL
1969-12-31T19:05:59,HC-SR04,19.6,ALERT
1969-12-31T19:06:00,HC-SR04,11.25,ALERT
1969-12-31T19:06:01,HC-SR04,11.25,ALERT
1969-12-31T19:06:02,HC-SR04,11.25,ALERT
1969-12-31T19:06:03,HC-SR04,11.25,ALERT
1969-12-31T19:06:04,HC-SR04,11.24,ALERT
1969-12-31T19:06:05,HC-SR04,11.24,ALERT
1969-12-31T19:06:06,HC-SR04,11.24,ALERT
1969-12-31T19:06:07,HC-SR04,11.24,ALERT
1969-12-31T19:06:08,HC-SR04,11.11,ALERT
1969-12-31T19:06:09,HC-SR04,11.11,ALERT
1969-12-31T19:06:10,HC-SR04,11.11,ALERT
1969-12-31T19:06:11,HC-SR04,11.11,ALERT
1969-12-31T19:06:12,HC-SR04,11.11,ALERT
1969-12-31T19:06:13,HC-SR04,11.26,ALERT
1969-12-31T19:06:14,HC-SR04,11.26,ALERT
1969-12-31T19:06:15,HC-SR04,11.26,ALERT
1969-12-31T19:06:16,HC-SR04,11.48,ALERT
1969-12-31T19:06:17,HC-SR04,11.48,ALERT
1969-12-31T19:06:18,HC-SR04,11.48,ALERT
1969-12-31T19:06:19,HC-SR04,11.48,ALERT
1969-12-31T19:06:20,HC-SR04,11.48,ALERT
1969-12-31T19:06:21,HC-SR04,11.2,ALERT
1969-12-31T19:06:22,HC-SR04,11.3,ALERT
1969-12-31T19:06:23,HC-SR04,11.21,ALERT
1969-12-31T19:06:24,HC-SR04,11.11,ALERT
1969-12-31T19:06:25,HC-SR04,11.19,ALERT
1969-12-31T19:06:26,HC-SR04,11.1,ALERT
1969-12-31T19:06:27,HC-SR04,11.1,ALERT
1969-12-31T19:06:28,HC-SR04,11.21,ALERT
1969-12-31T19:06:29,HC-SR04,11.26,ALERT
1969-12-31T19:06:30,HC-SR04,11.16,ALERT
1969-12-31T19:06:31,HC-SR04,11.33,ALERT
1969-12-31T19:06:32,HC-SR04,11.24,ALERT
1969-12-31T19:06:33,HC-SR04,11.16,ALERT
1969-12-31T19:06:34,HC-SR04,11.25,ALERT
1969-12-31T19:06:35,HC-SR04,11.25,ALERT
1969-12-31T19:06:36,HC-SR04,11.15,ALERT
1969-12-31T19:06:37,HC-SR04,11.24,ALERT
1969-12-31T19:06:38,HC-SR04,11.24,ALERT
1969-12-31T19:06:39,HC-SR04,11.15,ALERT
1969-12-31T19:06:40,HC-SR04,11.24,ALERT
1969-12-31T19:06:41,HC-SR04,11.24,ALERT
1969-12-31T19:06:42,HC-SR04,11.24,ALERT
1969-12-31T19:06:43,HC-SR04,11.24,ALERT
1969-12-31T19:06:44,HC-SR04,11.24,ALERT
1969-12-31T19:06:45,HC-SR04,11.24,ALERT
1969-12-31T19:06:46,HC-SR04,11.24,ALERT
1969-12-31T19:06:47,HC-SR04,11.24,ALERT
1969-12-31T19:06:48,HC-SR04,11.24,ALERT
1969-12-31T19:06:49,HC-SR04,11.24,ALERT
1969-12-31T19:06:50,HC-SR04,11.24,ALERT
1969-12-31T19:06:51,HC-SR04,11.25,ALERT
1969-12-31T19:06:52,HC-SR04,15.24,ALERT
1969-12-31T19:06:53,HC-SR04,19.23,ALERT
1969-12-31T19:06:54,HC-SR04,23.22,ALERT
1969-12-31T19:06:55,HC-SR04,27.21,NORMAL
1969-12-31T19:06:56,HC-SR04,31.2,NORMAL
1969-12-31T19:06:57,HC-SR04,35.18,NORMAL
1969-12-31T19:06:58,HC-SR04,39.17,NORMAL
1969-12-31T19:06:59,HC-SR04,43.16,NORMAL
1969-12-31T19:07:00,HC-SR04,43.16,NORMAL
1969-12-31T19:07:01,HC-SR04,43.16,NORMAL
1969-12-31T19:07:02,HC-SR04,43.16,NORMAL
1969-12-31T19:07:03,HC-SR04,43.16,NORMAL
1969-12-31T19:07:04,HC-SR04,43.16,NORMAL
1969-12-31T19:07:05,HC-SR04,43.16,NORMAL
1969-12-31T19:07:06,HC-SR04,43.16,NORMAL
1969-12-31T19:07:07,HC-SR04,43.08,NORMAL
1969-12-31T19:07:08,HC-SR04,42.99,NORMAL
1969-12-31T19:07:09,HC-SR04,42.9,NORMAL
1969-12-31T19:07:10,HC-SR04,42.81,NORMAL
1969-12-31T19:07:11,HC-SR04,42.72,NORMAL
1969-12-31T19:07:12,HC-SR04,42.63,NORMAL
1969-12-31T19:07:13,HC-SR04,42.54,NORMAL
1969-12-31T19:07:14,HC-SR04,42.67,NORMAL
1969-12-31T19:07:15,HC-SR04,42.72,NORMAL
1969-12-31T19:07:16,HC-SR04,42.72,NORMAL
1969-12-31T19:07:17,HC-SR04,42.73,NORMAL
1969-12-31T19:07:18,HC-SR04,42.95,NORMAL
1969-12-31T19:07:19,HC-SR04,43.27,NORMAL
1969-12-31T19:07:20,HC-SR04,52.44,NORMAL
1969-12-31T19:07:21,HC-SR04,61.71,NORMAL
1969-12-31T19:07:22,HC-SR04,70.75,NORMAL
1969-12-31T19:07:23,HC-SR04,79.96,NORMAL
1969-12-31T19:07:24,HC-SR04,89.23,NORMAL
1969-12-31T19:07:25,HC-SR04,98.49,NORMAL
1969-12-31T19:07:26,HC-SR04,107.54,NORMAL
1969-12-31T19:07:27,HC-SR04,116.48,NORMAL
1969-12-31T19:07:28,HC-SR04,116.57,NORMAL
1969-12-31T19:07:29,HC-SR04,116.57,NORMAL
1969-12-31T19:07:31,HC-SR04,116.57,NORMAL
1969-12-31T19:07:32,HC-SR04,116.57,NORMAL
1969-12-31T19:07:33,HC-SR04,116.57,NORMAL
1969-12-31T19:07:34,HC-SR04,116.57,NORMAL
1969-12-31T19:07:35,HC-SR04,116.57,NORMAL
1969-12-31T19:07:36,HC-SR04,116.44,NORMAL
1969-12-31T19:07:37,HC-SR04,106.34,NORMAL
1969-12-31T19:07:38,HC-SR04,96.23,NORMAL
1969-12-31T19:07:39,HC-SR04,81.66,NORMAL
1969-12-31T19:07:40,HC-SR04,67.09,NORMAL
1969-12-31T19:07:41,HC-SR04,52.52,NORMAL
1969-12-31T19:07:42,HC-SR04,37.94,NORMAL
1969-12-31T19:07:43,HC-SR04,23.37,NORMAL
1969-12-31T19:07:44,HC-SR04,8.93,ALERT
1969-12-31T19:07:45,HC-SR04,4.46,ALERT
1969-12-31T19:07:46,HC-SR04,0.0,ALERT
1969-12-31T19:07:47,HC-SR04,0.0,ALERT
1969-12-31T19:07:48,HC-SR04,0.0,ALERT
1969-12-31T19:07:49,HC-SR04,0.0,ALERT
1969-12-31T19:07:50,HC-SR04,0.0,ALERT
